x,y,pupilD
908.1,369.68,621.6
910.0400000000002,373.5,623.7
908.4399999999999,372.4,623.2
909.0900000000001,372.84000000000003,623.1
910.36,375.09,623.8
910.6900000000002,380.47999999999996,626.0
910.2700000000001,381.21,626.2
912.6300000000001,381.95000000000005,625.5
917.35,383.78000000000003,626.0
922.26,381.19,622.3
922.9199999999998,378.15999999999997,619.3
922.9300000000001,377.79,617.5
925.0999999999998,378.64,617.1
926.5800000000002,378.46,615.9
927.9099999999999,378.4,616.6
929.3699999999999,383.64,620.0
930.9100000000001,385.21999999999997,619.1
932.0699999999999,386.24,620.8
931.1599999999999,387.4,621.1
931.3799999999999,386.11,621.0
931.14,383.79,622.5
931.4100000000001,384.57,624.7
932.7,386.56,626.6
934.51,389.18,628.8
936.0800000000002,392.20000000000005,630.3
934.8400000000001,393.54,629.7
935.9100000000001,395.6,632.0
935.4999999999998,392.7,637.2
910.5899999999999,475.03999999999996,645.9
927.4100000000001,706.93,656.6
921.4,775.0400000000001,660.4
919.4599999999998,783.28,660.1
921.43,779.3799999999999,668.0
924.0899999999999,778.85,665.9
925.86,778.2,668.4
924.3399999999999,775.53,668.3
925.1699999999998,775.8,672.1
925.9300000000001,774.28,675.2
925.86,772.59,674.6
927.29,772.67,674.1
928.3800000000001,771.88,675.6
929.21,771.51,675.1
929.6899999999999,773.5799999999999,676.2
928.5300000000001,773.1200000000001,673.4
927.7,772.27,672.9
929.8199999999999,776.8000000000001,669.9
929.6700000000001,777.0699999999999,667.2
928.4199999999998,778.5799999999999,669.1
928.6600000000001,780.03,668.9
913.3800000000001,779.37,665.3
638.03,769.0200000000001,670.0
408.32,748.69,671.1
401.2,750.4100000000001,668.6
408.98,753.24,669.9
410.91999999999996,756.63,673.0
411.53999999999996,757.5400000000001,674.7
411.48999999999995,759.11,676.5
411.05,756.76,677.2
411.25999999999993,756.4,677.4
413.52,758.66,681.8
412.93,759.15,685.8
493.15,665.3800000000001,687.5
635.18,447.19000000000005,674.4
674.5400000000001,395.39,669.4
672.3100000000001,390.74,672.2
668.75,401.43,671.4
672.12,405.53000000000003,672.2
680.03,414.65,671.7
684.24,419.1,670.0
685.15,418.9599999999999,669.1
772.9599999999999,415.55,669.2
1174.95,414.51000000000005,650.9
1356.68,398.9,635.1
1359.11,400.07,630.7
1352.04,397.61,627.5
1350.15,397.14,625.5
1348.95,396.99999999999994,624.0
1347.9299999999998,400.25,622.9
1346.71,397.3,620.6
1347.8200000000002,394.62,619.9
1348.1999999999998,385.50000000000006,616.3
1347.42,382.93999999999994,615.4
1346.3700000000001,380.85,614.6
1345.72,379.48,614.7
1344.49,379.7,614.0
1343.44,380.64,613.6
1443.46,490.73,617.8
1487.19,682.1099999999999,617.2
1474.6399999999999,709.6399999999999,622.2
1471.97,701.25,617.5
1472.61,695.92,612.0
1476.5500000000002,690.51,610.6
1476.96,690.8799999999999,615.3
1476.07,692.45,614.6
1474.33,692.5899999999999,616.1
1473.69,691.22,614.5
1472.2800000000002,689.28,612.1
1442.5700000000002,656.48,615.3
1415.7399999999998,470.75,611.7
1418.5,405.83,613.5
1423.3,412.66999999999996,613.1
1423.8600000000001,418.66999999999996,614.5
1417.95,413.83000000000004,609.4
1415.43,412.9,610.1
1417.1100000000001,415.93,609.4
1424.02,420.12000000000006,609.1
1426.1200000000001,423.36,610.1
1427.17,424.86,608.0
1426.22,424.49000000000007,607.1
1425.7499999999998,421.96000000000004,606.9
1425.3600000000001,419.28999999999996,608.1
1424.65,416.05,607.6
1424.0899999999997,416.68,605.9
1423.9199999999998,415.88,604.4
1422.0700000000002,415.4700000000001,604.2
1420.1299999999999,416.16,601.4
1433.8799999999999,558.6899999999999,604.7
1400.5899999999997,751.7900000000001,609.8
1391.32,761.63,611.1
